add-builtin-O0: 1457 cases passed; text=9441 bytes; build=2.461s; 
add-builtin-O1: 1457 cases passed; text=6912 bytes; build=3.335s; 
add-builtin-O2: 1457 cases passed; text=6912 bytes; build=2.289s; 
add-limbs-O0: 1457 cases passed; text=4676 bytes; build=2.831s; 
add-limbs-O1: 1457 cases passed; text=2728 bytes; build=2.760s; 
add-limbs-O2: 1457 cases passed; text=2728 bytes; build=3.218s; 
mul-builtin-O0: 1457 cases passed; text=9825 bytes; build=2.406s; 
mul-builtin-O1: 1457 cases passed; text=7280 bytes; build=2.998s; 
mul-builtin-O2: 1457 cases passed; text=7280 bytes; build=3.158s; 
mul-limbs-O0: 1457 cases passed; text=5220 bytes; build=3.576s; 
mul-limbs-O1: 1457 cases passed; text=3256 bytes; build=3.953s; 
mul-limbs-O2: 1457 cases passed; text=3256 bytes; build=3.351s; 
div-builtin-O0: 1421 cases passed; text=10761 bytes; build=2.643s; 
div-builtin-O1: 1421 cases passed; text=8208 bytes; build=2.539s; 
div-builtin-O2: 1421 cases passed; text=8208 bytes; build=2.574s; 
div-limbs-O0: 1421 cases passed; text=5651 bytes; build=3.188s; 
div-limbs-O1: 1421 cases passed; text=3928 bytes; build=3.224s; 
div-limbs-O2: 1421 cases passed; text=3928 bytes; build=3.781s; 
rem-builtin-O0: 1421 cases passed; text=10769 bytes; build=2.622s; 
rem-builtin-O1: 1421 cases passed; text=8216 bytes; build=2.606s; 
rem-builtin-O2: 1421 cases passed; text=8216 bytes; build=2.552s; 
rem-limbs-O0: 1421 cases passed; text=5651 bytes; build=3.967s; 
rem-limbs-O1: 1421 cases passed; text=3952 bytes; build=4.316s; 
rem-limbs-O2: 1421 cases passed; text=3952 bytes; build=3.290s; 
shl-builtin-O0: 1888 cases passed; text=9745 bytes; build=3.609s; 
shl-builtin-O1: 1888 cases passed; text=7080 bytes; build=3.540s; 
shl-builtin-O2: 1888 cases passed; text=7080 bytes; build=3.123s; 
shl-limbs-O0: 1888 cases passed; text=4067 bytes; build=2.583s; 
shl-limbs-O1: 1888 cases passed; text=2800 bytes; build=2.510s; 
shl-limbs-O2: 1888 cases passed; text=2800 bytes; build=2.527s; 
shr-builtin-O0: 1888 cases passed; text=10049 bytes; build=2.372s; 
shr-builtin-O1: 1888 cases passed; text=7144 bytes; build=2.492s; 
shr-builtin-O2: 1888 cases passed; text=7144 bytes; build=2.420s; 
shr-limbs-O0: 1888 cases passed; text=4067 bytes; build=2.689s; 
shr-limbs-O1: 1888 cases passed; text=2728 bytes; build=2.512s; 
shr-limbs-O2: 1888 cases passed; text=2728 bytes; build=3.172s; 
lt-builtin-O0: 1457 cases passed; text=9529 bytes; build=2.936s; 
lt-builtin-O1: 1457 cases passed; text=6896 bytes; build=3.014s; 
lt-builtin-O2: 1457 cases passed; text=6896 bytes; build=3.048s; 
lt-limbs-O0: 1457 cases passed; text=3252 bytes; build=3.309s; 
lt-limbs-O1: 1457 cases passed; text=2112 bytes; build=2.587s; 
lt-limbs-O2: 1457 cases passed; text=2112 bytes; build=2.371s; 
pow-builtin-O0: 1457 cases passed; text=12337 bytes; build=2.450s; 
pow-builtin-O1: 1457 cases passed; text=9280 bytes; build=2.497s; 
pow-builtin-O2: 1457 cases passed; text=9280 bytes; build=2.613s; 
pow-limbs-O0: 1457 cases passed; text=6444 bytes; build=3.463s; 
pow-limbs-O1: 1457 cases passed; text=4552 bytes; build=3.343s; 
pow-limbs-O2: 1457 cases passed; text=4552 bytes; build=10.049s; 
